Paper ID,Publishable,Conference,Rationale
P001,0,na,na
P002,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P003,0,na,na
P004,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P005,0,na,na
P006,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P007,0,na,na
P008,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P009,0,na,na
P010,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P011,0,na,na
P012,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P013,0,na,na
P014,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P015,0,na,na
P016,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P017,0,na,na
P018,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P019,0,na,na
P020,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P021,0,na,na
P022,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P023,0,na,na
P024,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P025,0,na,na
P026,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P027,0,na,na
P028,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P029,0,na,na
P030,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P031,0,na,na
P032,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P033,0,na,na
P034,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P035,0,na,na
P036,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P037,0,na,na
P038,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P039,0,na,na
P040,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P041,0,na,na
P042,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P043,0,na,na
P044,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P045,0,na,na
P046,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P047,0,na,na
P048,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P049,0,na,na
P050,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P051,0,na,na
P052,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P053,0,na,na
P054,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P055,0,na,na
P056,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P057,0,na,na
P058,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P059,0,na,na
P060,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P061,0,na,na
P062,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P063,0,na,na
P064,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P065,0,na,na
P066,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P067,0,na,na
P068,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P069,0,na,na
P070,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P071,0,na,na
P072,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P073,0,na,na
P074,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P075,0,na,na
P076,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P077,0,na,na
P078,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P079,0,na,na
P080,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P081,0,na,na
P082,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P083,0,na,na
P084,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P085,0,na,na
P086,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P087,0,na,na
P088,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P089,0,na,na
P090,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P091,0,na,na
P092,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P093,0,na,na
P094,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P095,0,na,na
P096,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P097,0,na,na
P098,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P099,0,na,na
P100,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P101,0,na,na
P102,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P103,0,na,na
P104,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P105,0,na,na
P106,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P107,0,na,na
P108,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P109,0,na,na
P110,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P111,0,na,na
P112,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P113,0,na,na
P114,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P115,0,na,na
P116,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P117,0,na,na
P118,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P119,0,na,na
P120,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P121,0,na,na
P122,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P123,0,na,na
P124,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P125,0,na,na
P126,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P127,0,na,na
P128,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P129,0,na,na
P130,1,TMLR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P131,0,na,na
P132,1,CVPR,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P133,0,na,na
P134,1,DAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus lacinia odio vitae."
P135,0,na,na
